,Batter,Country,innings,total_runs,balls_faced,num_outs,batting_avg,strike_rate,bf_pi,bf_pw
0,A Ahmadhel,Bulgaria,3,6,18,3.0,2.0,33.33333333333333,6.0,6.0
1,A Amado,Israel,2,19,28,2.0,9.5,67.85714285714286,14.0,14.0
2,A Andrews,Switzerland,1,4,6,1.0,4.0,66.66666666666666,6.0,6.0
3,A Ashokan,Czech Republic,21,542,469,15.0,36.13333333333333,115.56503198294243,22.333333333333332,31.266666666666666
4,A Bagai,Canada,4,165,154,3.0,55.0,107.14285714285714,38.5,51.333333333333336
5,A Balbirnie,Ireland,87,1973,1566,84.0,23.488095238095237,125.9897828863346,18.0,18.642857142857142
6,A Bhadauria,Luxembourg,2,40,31,2.0,20.0,129.03225806451613,15.5,15.5
7,A Bhagwat,Hong Kong,3,2,9,3.0,0.6666666666666666,22.22222222222222,3.0,3.0
8,A Bhargava,Singapore,2,7,6,1.0,7.0,116.66666666666667,3.0,6.0
9,A Bhattarai,Nepal,1,2,3,1.0,2.0,66.66666666666666,3.0,3.0
10,A Bishnoi,Malta,8,11,21,4.0,2.75,52.38095238095239,2.625,5.25
11,A Bohara,Nepal,7,21,24,4.0,5.25,87.5,3.4285714285714284,6.0
12,A Bulow,Denmark,1,11,13,1.0,11.0,84.61538461538461,13.0,13.0
13,A Bushell,Guernsey,1,5,8,1.0,5.0,62.5,8.0,8.0
14,A Conteh,Gambia,6,35,55,6.0,5.833333333333333,63.63636363636363,9.166666666666666,9.166666666666666
15,A Dananjaya,Sri Lanka,13,53,67,8.0,6.625,79.1044776119403,5.153846153846154,8.375
16,A Daxini,Croatia,3,11,22,3.0,3.6666666666666665,50.0,7.333333333333333,7.333333333333333
17,A Dhingra,Luxembourg,4,7,6,1.0,7.0,116.66666666666667,1.5,6.0
18,A Dizija,Serbia,13,414,323,13.0,31.846153846153847,128.1733746130031,24.846153846153847,24.846153846153847
19,A Djorovic,Serbia,3,21,35,1.0,21.0,60.0,11.666666666666666,35.0
20,A Dutt,Netherlands,1,0,3,1.0,0.0,0.0,3.0,3.0
21,A Faletar,Croatia,2,0,2,1.0,0.0,0.0,1.0,2.0
22,A Ferguson,Argentina,10,264,271,9.0,29.333333333333332,97.41697416974169,27.1,30.11111111111111
23,A Flintoff,England,7,76,59,6.0,12.666666666666666,128.81355932203388,8.428571428571429,9.833333333333334
24,A Gasteratos,Greece,1,4,10,1.0,4.0,40.0,10.0,10.0
25,A Gavde,Cayman Islands,1,1,6,1.0,1.0,16.666666666666664,6.0,6.0
26,A Gbla,Sierra Leone,10,83,93,9.0,9.222222222222221,89.24731182795699,9.3,10.333333333333334
27,A Gorawara,Hong Kong,2,21,18,2.0,10.5,116.66666666666667,9.0,9.0
28,A Halbhavi,Luxembourg,11,168,154,11.0,15.272727272727273,109.09090909090908,14.0,14.0
29,A Husain,Argentina,2,11,13,1.0,11.0,84.61538461538461,6.5,13.0
30,A Johnmary,France,1,8,14,2.0,4.0,57.14285714285714,14.0,7.0
31,A Johnson,Canada,7,402,241,6.0,67.0,166.80497925311204,34.42857142857143,40.166666666666664
32,A Kansonkho,Malawi,3,22,19,2.0,11.0,115.78947368421053,6.333333333333333,9.5
33,A Kapoor,Canada,1,9,4,0.0,9.0,225.0,4.0,inf
34,A Karn,Nepal,1,4,7,1.0,4.0,57.14285714285714,7.0,7.0
35,A Kaul,Singapore,3,13,21,3.0,4.333333333333333,61.904761904761905,7.0,7.0
36,A Khan,Denmark/England,7,49,53,7.0,7.0,92.45283018867924,7.571428571428571,7.571428571428571
